location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Switzerland,2022-04-10,50,59,81.19
Switzerland,2022-04-10,60,69,84.75
Switzerland,2022-04-10,70,79,90.54
Switzerland,2022-04-10,80,,92.92
Switzerland,2022-04-17,0,9,3.52
Switzerland,2022-04-17,10,19,49.77
Switzerland,2022-04-17,20,29,73.19
Switzerland,2022-04-17,30,39,73.51
Switzerland,2022-04-17,40,49,77.84
Switzerland,2022-04-17,50,59,81.19
Switzerland,2022-04-17,60,69,84.75
Switzerland,2022-04-17,70,79,90.54
Switzerland,2022-04-17,80,,92.92
Switzerland,2022-04-24,0,9,3.52
Switzerland,2022-04-24,10,19,49.8
Switzerland,2022-04-24,20,29,73.2
Switzerland,2022-04-24,30,39,73.52
Switzerland,2022-04-24,40,49,77.85
Switzerland,2022-04-24,50,59,81.2
Switzerland,2022-04-24,60,69,84.75
Switzerland,2022-04-24,70,79,90.54
Switzerland,2022-04-24,80,,92.93
Switzerland,2022-05-01,0,9,3.53
Switzerland,2022-05-01,10,19,49.83
Switzerland,2022-05-01,20,29,73.21
Switzerland,2022-05-01,30,39,73.53
Switzerland,2022-05-01,40,49,77.85
Switzerland,2022-05-01,50,59,81.2
Switzerland,2022-05-01,60,69,84.76
Switzerland,2022-05-01,70,79,90.55
Switzerland,2022-05-01,80,,92.93
Switzerland,2022-05-08,0,9,3.54
Switzerland,2022-05-08,10,19,49.87
Switzerland,2022-05-08,20,29,73.22
Switzerland,2022-05-08,30,39,73.53
Switzerland,2022-05-08,40,49,77.86
Switzerland,2022-05-08,50,59,81.2
Switzerland,2022-05-08,60,69,84.76
Switzerland,2022-05-08,70,79,90.55
Switzerland,2022-05-08,80,,92.93
Switzerland,2022-05-15,0,9,3.56
Switzerland,2022-05-15,10,19,49.92
Switzerland,2022-05-15,20,29,73.23
Switzerland,2022-05-15,30,39,73.54
Switzerland,2022-05-15,40,49,77.86
Switzerland,2022-05-15,50,59,81.21
Switzerland,2022-05-15,60,69,84.76
Switzerland,2022-05-15,70,79,90.55
Switzerland,2022-05-15,80,,92.93
Switzerland,2022-05-22,0,9,3.57
Switzerland,2022-05-22,10,19,49.97
Switzerland,2022-05-22,20,29,73.23
Switzerland,2022-05-22,30,39,73.54
Switzerland,2022-05-22,40,49,77.86
